Layer name,version,num of weights,num of zero weights,num of unique weights,num of abs weights,num of delta weights,abs unique weights storage(bits) ,delta uniqie weights storage(bits),total unique weights storage(bits),num of weight repetition elements,unique weight repetition storage(bits),total weight storage(bits),total cycle without bubbles,total cycle with bubbles,total cycle overhead,min total idx memory storage,total number of bubbles
conv1,V1,34848,7065,1656,42,1614,378,3228,3606,2093,10465,14071,9727,13161,35.30379356430554,233207.0,11561
conv1,V2,34848,7065,1666,18,1648,162,3296,3458,2103,10515,13973,9727,13161,35.30379356430554,233207.0,11561
conv2,V1,307200,115482,25431,1769,23662,15921,47324,63245,31239,124956,188201,54874,77780,41.742901920763934,1385982.0,113662
conv2,V2,307200,115482,25604,1059,24545,9531,49090,58621,31412,125648,184269,54874,77780,41.742901920763934,1385982.0,113662
conv3,V1,884736,379790,101686,3434,98252,30906,196504,227410,104022,416088,643498,154886,199693,28.92901876218638,3126761.0,254141
conv3,V2,884736,379790,101905,1742,100163,15678,200326,216004,104241,416964,632968,154886,199693,28.92901876218638,3126761.0,254141
conv4,V1,663552,243190,84575,3059,81516,27531,163032,190563,86126,344504,535067,122297,162998,33.28045659337514,2618959.0,210459
conv4,V2,663552,243190,84765,1484,83281,13356,166562,179918,86316,345264,525182,122297,162998,33.28045659337514,2618959.0,210459
conv5,V1,442368,152838,59089,2163,56926,19467,113852,133319,60061,240244,373563,84161,112667,33.87079526146315,1809339.0,146495
conv5,V2,442368,152838,59286,1016,58270,9144,116540,125684,60258,241032,366716,84161,112667,33.87079526146315,1809339.0,146495
fc6,V1,37748736,33847489,671215,64,671151,576,1342302,1342878,671215,4027290,5370168,161750,184883,14.301700154559505,26762840.0,3014560
fc6,V2,37748736,33847489,671215,1,671214,9,1342428,1342437,671215,4027290,5369727,161750,184883,14.301700154559505,26762840.0,3014560
fc7,V1,16777216,12917121,439821,103,439718,927,879436,880363,439821,2638926,3519289,96021,161136,67.81329084262818,25821858.0,4283416
fc7,V2,16777216,12917121,439822,8,439814,72,879628,879700,439822,2638932,3518632,96021,161136,67.81329084262818,25821858.0,4283416
fc8,V1,4096000,2234226,193052,601,192451,5409,384902,390311,193052,1351364,1741675,43732,69170,58.167931949144794,12399785.0,2064762
fc8,V2,4096000,2234226,193057,79,192978,711,385956,386667,193057,1351399,1738066,43732,69170,58.167931949144794,12399785.0,2064762
