Layer name,version,num of weights,num of zero weights,num of unique weights,num of abs weights,num of delta weights,abs unique weights storage(bits) ,delta uniqie weights storage(bits),total unique weights storage(bits),num of weight repetition elements,unique weight repetition storage(bits),total weight storage(bits),total cycle without bubbles,total cycle with bubbles,total cycle overhead,min total idx memory storage,total number of bubbles
conv1/7x7_s2,V1,9408,740,2391,335,2056,3015,4112,7127,2895,8685,15812,2938,4130,40.57181756296801,75714.0,3665
conv1/7x7_s2,V2,9408,740,2436,225,2211,2025,4422,6447,2940,8820,15267,2938,4130,40.57181756296801,75714.0,3665
conv2/3x3_reduce,V1,4096,188,3762,601,3161,5409,15805,21214,3767,7534,28748,1024,1542,50.5859375,15328.0,1417
conv2/3x3_reduce,V2,4096,188,3769,0,3769,0,18845,18845,3777,7554,26399,1024,1542,50.5859375,15328.0,1417
conv2/3x3,V1,110592,15657,35766,3459,32307,31131,64614,95745,37516,112548,208293,25540,37629,47.33359436178544,672739.0,51652
conv2/3x3,V2,110592,15657,36080,2154,33926,19386,67852,87238,37830,113490,200728,25540,37629,47.33359436178544,672739.0,51652
inception_3a/1x1,V1,12288,1187,10185,1511,8674,13599,34696,48295,10227,20454,68749,3063,4434,44.76003917727718,43170.0,3989
inception_3a/1x1,V2,12288,1187,10365,0,10365,0,41460,41460,10402,20804,62264,3063,4434,44.76003917727718,43170.0,3989
inception_3a/3x3_reduce,V1,18432,1895,15118,1823,13295,16407,53180,69587,15187,30374,99961,4593,6604,43.784019159590684,64466.0,5951
inception_3a/3x3_reduce,V2,18432,1895,15426,0,15426,0,61704,61704,15486,30972,92676,4593,6604,43.784019159590684,64466.0,5951
inception_3a/3x3,V1,110592,19265,29547,2253,27294,20277,54588,74865,32336,97008,171873,24832,35967,44.8413337628866,629606.0,48777
inception_3a/3x3,V2,110592,19265,29787,1308,28479,11772,56958,68730,32576,97728,166458,24832,35967,44.8413337628866,629606.0,48777
inception_3a/5x5_reduce,V1,3072,309,2462,274,2188,2466,8752,11218,2476,4952,16170,767,1093,42.503259452411996,10764.0,962
inception_3a/5x5_reduce,V2,3072,309,2515,0,2515,0,10060,10060,2530,5060,15120,767,1093,42.503259452411996,10764.0,962
inception_3a/5x5,V1,12800,2452,1965,213,1752,1917,3504,5421,2848,8544,13965,2777,4105,47.82138998919697,82375.0,5760
inception_3a/5x5,V2,12800,2452,1980,141,1839,1269,3678,4947,2863,8589,13536,2777,4105,47.82138998919697,82375.0,5760
inception_3a/pool_proj,V1,6144,484,5208,886,4322,7974,17288,25262,5232,10464,35726,1531,2235,45.983017635532335,21974.0,1997
inception_3a/pool_proj,V2,6144,484,5311,0,5311,0,21244,21244,5338,10676,31920,1531,2235,45.983017635532335,21974.0,1997
inception_3b/1x1,V1,32768,4288,25223,5354,19869,48186,59607,107793,25440,50880,158673,8114,11421,40.75671678580232,110500.0,10373
inception_3b/1x1,V2,32768,4288,25908,458,25450,4122,76350,80472,26077,52154,132626,8114,11421,40.75671678580232,110500.0,10373
inception_3b/3x3_reduce,V1,32768,3443,26389,2162,24227,19458,96908,116366,26569,53138,169504,8168,11720,43.48677766895201,114094.0,10566
inception_3b/3x3_reduce,V2,32768,3443,27140,0,27140,0,108560,108560,27287,54574,163134,8168,11720,43.48677766895201,114094.0,10566
inception_3b/3x3,V1,221184,43937,49323,2705,46618,24345,93236,117581,56722,170166,287747,48450,68928,42.26625386996904,1218693.0,91481
inception_3b/3x3,V2,221184,43937,49523,1525,47998,13725,95996,109721,56922,170766,280487,48450,68928,42.26625386996904,1218693.0,91481
inception_3b/5x5_reduce,V1,8192,1046,6385,601,5784,5409,23136,28545,6447,12894,41439,2028,2864,41.222879684418146,27833.0,2587
inception_3b/5x5_reduce,V2,8192,1046,6567,0,6567,0,26268,26268,6619,13238,39506,2028,2864,41.222879684418146,27833.0,2587
